url,status,recommended_action,reason
file:///C:/Users/hanna/Desktop/agentforce_contact_center_5-30-2026.pdf,auto_parse_pdf,use_pdf_section_parser,"Local Salesforce Agentforce Contact Center PDF source; filter to Email-to-Case setup pages 575-597."
https://resources.docs.salesforce.com/latest/latest/en-us/sfdc/pdf/sales_core.pdf,auto_parse_pdf,use_pdf_section_parser,"Official Salesforce PDF source; filter to account, opportunity, quote, contract, and sales lifecycle sections."
https://resources.docs.salesforce.com/latest/latest/en-us/sfdc/pdf/lightning_knowledge_guide.pdf,auto_parse_pdf,use_pdf_section_parser,"Official Salesforce PDF source; filter to Knowledge setup and agent workflow sections."
https://resources.docs.salesforce.com/latest/latest/en-us/sfdc/pdf/extend_click_automate.pdf,auto_parse_pdf,use_pdf_section_parser,"Official Salesforce PDF source; filter to Flow, approval, and click-based automation sections."
https://resources.docs.salesforce.com/latest/latest/en-us/sfdc/pdf/salesforce_apex_developer_guide.pdf,auto_parse_pdf,use_pdf_section_parser,"Official Salesforce PDF source; filter to Apex automation and troubleshooting sections."
https://resources.docs.salesforce.com/latest/latest/en-us/sfdc/pdf/setup.pdf,auto_parse_pdf,use_pdf_section_parser,"Official Salesforce PDF source; filter to setup, permissions, users, queues, and admin configuration sections."
https://resources.docs.salesforce.com/latest/latest/en-us/sfdc/pdf/salesforce_security_impl_guide.pdf,auto_parse_pdf,use_pdf_section_parser,"Official Salesforce PDF source; filter to CRM security, permissions, profiles, and sharing sections."
https://resources.docs.salesforce.com/latest/latest/en-us/sfdc/pdf/salesforce_record_access_under_the_hood.pdf,auto_parse_pdf,use_pdf_section_parser,"Official Salesforce PDF source; filter to record access, sharing, roles, and ownership sections."
https://resources.docs.salesforce.com/latest/latest/en-us/sfdc/pdf/mc_email.pdf,auto_parse_pdf,use_pdf_section_parser,"Official Salesforce PDF source; filter to customer communication and email workflow sections."
https://resources.docs.salesforce.com/latest/latest/en-us/sfdc/pdf/mc_journeys_and_automations.pdf,auto_parse_pdf,use_pdf_section_parser,"Official Salesforce PDF source; filter to Journey Builder and automation sections."
file:///C:/Users/hanna/Desktop/engagement_audience_builder_and_contact_builder_5-30-2026.pdf,auto_parse_pdf,use_pdf_section_parser,"Local Salesforce Marketing Cloud Contact Builder PDF source; filter to synchronized data sources and data extension pages."
https://resources.docs.salesforce.com/latest/latest/en-us/sfdc/pdf/messaging_admin_implementation_guide.pdf,auto_parse_pdf,use_pdf_section_parser,"Official Salesforce PDF source; filter to messaging channels, WhatsApp, SMS, routing, and agent conversation setup sections."
